id,price,availability_365
1,160,283
2,350,343
3,50,60
4,95,365
5,50,351
6,99,361
7,100,21
8,100,365
9,38,360
10,71,352
11,97,3
12,55,0
13,50,365
14,99,339
15,60,361
16,52,359
17,23,333
18,200,363
19,40,0
20,135,365
21,100,365
22,225,365
23,129,120
24,149,18
25,150,351
26,175,361
27,239,345
28,65,63
29,71,319
30,80,123
31,250,340
32,138,365
33,94,308
34,283,297
35,127,0
36,79,349
37,110,62
38,38,363
39,480,325
40,372,326
41,125,57
42,89,161
43,80,360
44,90,313
45,110,345
46,100,0
47,250,41
48,55,364
49,55,362
50,400,365
51,35,360
52,160,0
53,130,346
54,50,194
55,150,365
56,40,267
57,45,354
58,55,345
59,200,365
60,65,296
61,94,361
62,65,336
63,64,336
64,59,353
65,125,365
66,74,336
67,69,353
68,49,356
69,60,364
70,69,348
71,157,324
72,128,301
73,135,138
74,90,327
75,102,335
76,99,22
77,195,167
78,160,347
79,95,287
80,120,294
81,249,150
82,88,25
83,90,0
84,150,325
85,125,30
86,85,344
87,400,340
88,120,364
89,215,343
90,90,363
91,50,324
92,100,336
93,65,29
94,55,356
95,129,173
96,45,275
97,299,159
98,309,356
99,375,365
100,180,308
101,149,334
102,337,42
103,299,360
104,249,365
105,126,326
106,99,13
107,299,365
108,199,89
109,89,275
110,165,365
111,309,365
112,115,305
113,130,21
114,95,337
115,50,89
116,569,90
117,55,365
118,49,280
119,250,350
120,198,365
121,311,45
122,95,49
123,59,346
124,167,343
125,165,138
126,104,344
127,99,58
128,159,360
129,190,129
130,246,57
131,200,305
132,215,353
133,450,365
134,234,365
135,110,345
136,225,335
137,249,365
138,109,60
139,250,53
140,135,182
141,87,357
142,210,343
143,300,299
144,189,343
145,120,273
146,200,285
147,269,145
148,569,365
149,120,305
150,109,273
151,150,99
152,95,323
153,119,2
154,97,353
155,99,84
156,295,346
157,149,329
158,110,330
159,180,335
160,150,169
161,150,334
162,155,0
163,85,209
164,130,302
165,120,14
166,90,348
167,149,255
168,569,90
169,180,284
170,55,84
171,229,323
172,75,26
173,569,90
174,105,267
175,259,365
176,120,3
177,119,0
178,139,114
179,90,361
180,109,341
181,150,345
182,295,330
183,210,335
184,329,345
185,125,11
186,150,350
187,175,270
188,129,41
189,239,365
190,250,353
191,168,328
192,79,36
193,65,346
194,290,354
195,725,87
196,109,306
197,99,335
198,569,365
199,120,62
200,290,0
201,145,34
202,210,347
203,90,340
204,99,58
205,399,365
206,239,365
207,150,74
208,199,92
209,135,230
210,295,360
211,429,72
212,400,278
213,295,321
214,179,305
215,309,353
216,90,56
217,43,233
218,120,28
219,269,348
220,150,223
221,269,365
222,185,364
223,120,30
224,220,321
225,99,2
226,99,161
227,250,365
228,249,365
229,259,27
230,300,293
231,289,365
232,200,345
233,249,365
234,81,40
235,200,66
236,194,156
237,89,237
238,159,296
239,85,0
240,100,0
241,189,290
242,150,363
243,175,317
244,120,313
245,155,284
246,629,90
247,311,43
248,571,365
249,339,348
250,210,342
251,299,359
252,170,358
253,135,304
254,245,337
255,249,365
256,99,351
257,149,365
258,99,354
259,295,303
260,400,143
261,65,42
262,99,320
263,179,203
264,150,284
265,140,288
266,179,325
267,135,329
268,250,8
269,95,17
270,170,48
271,299,363
272,150,115
273,250,346
274,105,0
275,120,37
276,399,365
277,629,365
278,569,90
279,70,36
280,110,50
281,259,27
282,99,9
283,289,345
284,124,292
285,259,365
286,80,51
287,96,289
288,189,336
289,289,179
290,299,365
291,170,57
292,130,37
293,149,118
294,259,57
295,349,320
296,78,310
297,125,27
298,95,170
299,130,62
300,72,350
301,175,156
302,246,57
303,140,68
304,65,76
305,125,0
306,85,153
307,309,178
308,569,90
309,150,170
310,279,365
311,154,268
312,165,307
313,149,329
314,104,320
315,125,331
316,259,6
317,155,156
318,259,365
319,189,350
320,110,0
321,58,194
322,68,90
323,309,365
324,160,274
325,80,349
326,569,90
327,103,67
328,629,365
329,324,27
330,90,278
331,329,362
332,299,356
333,349,361
334,95,96
335,189,344
336,324,27
337,100,230
338,299,279
339,215,2
340,319,359
341,155,365
342,209,337
343,249,365
344,329,365
345,99,321
346,324,24
347,168,306
348,215,127
349,159,360
350,629,90
351,629,90
352,89,85
353,36,349
354,100,1
355,115,311
356,239,365
357,100,25
358,189,365
359,159,360
360,100,365
361,100,356
362,160,150
363,130,5
364,125,118
365,115,274
366,189,51
367,140,185
368,1000,0
369,165,189
370,115,22
371,249,365
372,132,0
373,189,308
374,79,116
375,239,365
376,150,61
377,96,302
378,139,12
379,99,120
380,56,334
381,219,365
382,295,151
383,100,158
384,229,351
385,300,318
386,120,337
387,105,18
388,108,25
389,118,342
390,310,326
391,100,71
392,188,241
393,65,40
394,116,282
395,149,55
396,150,356
397,70,161
398,130,365
399,95,7
400,165,81
401,155,365
402,324,24
403,150,333
404,109,64
405,110,16
406,324,27
407,60,101
408,160,347
409,95,95
410,128,340
411,50,341
412,75,151
413,135,344
