MES,ANYO,IDSEC,ORDEN_VIAJE,ORDEN_REP,CCAADEST,PROVDEST,PAISDEST,DESTESP,MOTIV,TIPOVIAJ,NPERNOC,NPERNOC_CORR,VIAJA_SOLO,VIAJA_PAREJA,VIAJA_HIJOS,VIAJA_OTROSFAMILIARES,VIAJA_AMIGOS,VIAJA_COMPTRABAJO,ALOJAPRIN,NESTR_PPAL,TRANSPRIN,LOW_COST,AVE,PAQUETE,PAQ_TRANSP,PAQ_ALOJA,PAQ_COMBEB,PAQ_ACT,BLOQUE_ETAPAS,IMPU_PARCIAL,PAGO_ALOJA,PAGO_TRANS,PAGO_MANUT,GASTO_PAQ,GASTOFI_PAQ,GASTO_ALOJA,GASTOFI_ALOJA,GASTO_TRANS,GASTOFI_TRANS,GASTO_BAREST,GASTOFI_BAREST,GASTO_ACT,GASTOFI_ACT,GASTO_BIENDUR,GASTOFI_BIENDUR,GASTO_RESTO,GASTOFI_RESTO,GASTOFI_TOTAL,ACTI_GOLF,ACTI_DEPOR,ACTI_NAVEGA,ACTI_OTROSNAUTICOS,ACTI_CAZA,ACTI_SENDER,ACTI_AVENTURA,ACTI_CABALLO,ACTI_OTROSDEPORTES,ACTI_ESPECDEPOR,ACTI_VISITASCULTU,ACTI_ESPECULTU,ACTI_OTRASCULTU,ACTI_CIUDADES,ACTI_RURALES,ACTI_TEMATICOS,ACTI_RELAX,ACTI_JUEGOS,ACTI_GASTRO,ACTI_DIVER,ACTI_RELIGION,ACTI_CONGRESOS,ACTI_AREASNATU,ACTI_PLAYA,ACTI_FAMILIA,ACTI_COMPRAS,GRADO_SATISF,FIDELIDAD_DEST,MIEMV,MIEMV_15MAS,MIEMV_15MENOS,SEXO,EDAD,CCAA_RESIDENCIA,TAMAMU,URBA,PAISNAC,NACION,PAISNACIO,ECIVIL,CONV,NIVELEST,RELAECON,MH,INGR_HOG,CORR15_VT,FACTORVI_15MAS,FACTORVI_TOT,FACTORGAS_TOT
02,2015,03287,01,01,00,00,004,6,07,10,7,7,0,1,0,0,0,0,08,,02,,,1,1,1,1,1,6,6,,,,1,"1608,37",6,0,6,0,6,0,1,"155,57",6,0,6,0,"1763,94",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,07,6,2,2,0,2,067,02,1,1,1,1,1,2,1,4,3,2,3,1,"822,552276","822,552276","822,552276"
02,2015,03297,01,01,00,00,001,6,08,10,3,3,0,1,0,0,1,0,03,,01,1,,6,,,,,6,6,,,,6,0,1,"125,19",1,"143,01",1,"253,51",1,"112,12",6,0,6,0,"633,83",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2,2,0,2,046,01,4,3,1,1,1,2,1,4,1,4,3,1,"1569,552134","1569,552134","1569,552134"
02,2015,03298,01,01,16,20,108,1,04,02,1,1,0,0,0,0,1,0,02,,05,,,6,,,,,6,6,,,,6,0,1,"44,9",1,"22,66",1,"45,72",6,0,6,0,6,0,"113,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,09,6,1,1,0,1,040,16,1,1,1,1,1,2,1,4,1,3,4,1,"1574,461084","1574,461084","1574,461084"
02,2015,03299,01,05,05,38,108,1,08,02,2,2,1,0,0,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"6,33",6,0,6,0,6,0,1,"30,66","36,99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,1,1,0,2,025,05,3,3,1,1,1,1,3,4,1,2,2,1,"1283,759032","1283,759032","1283,759032"
02,2015,03301,01,01,10,03,108,1,07,10,7,7,0,1,0,0,0,0,01,4,09,,,6,,,,,6,6,,,,6,0,1,"207,51",1,"84,46",1,"173,61",6,0,6,0,6,0,"465,58",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,06,1,2,2,0,2,055,15,5,2,1,1,1,2,1,4,4,4,4,1,"1042,322428","1042,322428","1042,322428"
02,2015,03302,01,02,06,39,108,1,07,10,1,1,1,0,0,0,0,0,10,,05,,,6,,,,,6,1,,,,6,0,6,0,1,"30,75",6,0,6,0,6,0,1,"18,18","48,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,073,17,5,3,2,2,2,4,3,4,3,1,4,1,"198,988644","198,988644","198,988644"
02,2015,03312,01,01,11,06,108,1,02,02,2,2,0,1,0,0,0,0,01,4,05,,,6,,,,,6,6,,,,6,0,1,"94,95",1,"54,76",1,"79,65",1,"32,87",6,0,6,0,"262,23",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,08,1,1,1,0,1,053,13,1,1,1,1,1,5,3,4,1,1,3,1,"2527,648073","2527,648073","2527,648073"
02,2015,03316,01,01,09,17,108,1,17,06,4,4,,,,,,,11,,05,,,,,,,,6,6,2,2,2,,0,6,0,1,"75,98",6,0,6,0,6,0,6,0,"75,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,035,09,2,1,1,1,1,1,3,4,1,1,1,1,"1675,48656","1675,48656","1675,48656"
02,2015,03333,01,01,01,29,108,1,06,10,7,7,1,0,0,0,0,0,01,8,01,8,,1,1,1,1,6,6,6,,,,1,"173,73",6,0,6,0,1,"164,43",1,"65,21",6,0,6,0,"403,37",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,08,1,1,1,0,2,064,15,5,2,1,1,1,5,3,1,3,1,1,1,"571,043126","571,043126","571,043126"
02,2015,03339,01,01,00,00,001,6,08,10,8,8,1,0,0,0,0,0,11,,01,1,,6,,,,,6,6,,,,6,0,6,0,1,"277,64",1,"456,07",6,0,6,0,6,0,"733,71",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,1,038,01,2,1,2,2,2,1,3,4,2,1,1,1,"4539,741308","4539,741308","4539,741308"
