EDAD,GASTOFI_TOTAL,test
2306,54,138,04
2307,32,28,47
2309,59,77,43
2310,46,51,43
2313,35,27,51
2318,26,122,96
2323,39,298,14
2328,72,75,59
2329,45,51,94
2331,68,37,73
2332,29,118,44
2338,51,363,26
2339,48,180,21
2346,36,272,44
2350,44,92,28
2373,36,35,83
2374,77,88,71
2389,65,711,85
2392,33,138,57
2393,66,116,58
2396,39,132,19
2414,48,77,97
2416,60,27,98
2420,47,192,37
2427,22,470,64
2432,61,263,56
2435,43,70,56
2441,49,77,14
2452,43,26,93
2469,44,48,27
2480,65,381,82
2495,39,33,01
2496,21,16
2501,44,255,76
2503,16,227,67
2519,19,44,65
2524,54,88,25
2525,25,103,56
2527,54,187,91
2530,41,97,05
2535,27,149,71
2544,31,162,7
2561,67,101,02
2564,45,289,52
2566,55,26,29
2569,66,84
2571,42,1681,52
2572,54,46,02
2578,25,128,38
2580,85,139,17
2582,75,325,64
2584,15,38,85
2587,32,897,82
2593,21,39,9
2600,53,90,39
2605,17,28,17
2611,65,73,72
2628,54,24,04
2638,53,284,59
2647,49,181,86
2648,59,177,93
2651,70,555,62
2654,29,135,04
2670,28,99,77
2681,50,96,59
2683,39,87,08
2703,68,50,92
2706,58,32,43
2722,44,894,74
2733,34,46,03
2738,20,144,9
2740,42,111,24
2741,57,19,95
2744,56,92,18
2748,40,242,35
2749,37,76,23
2754,38,222,78
2756,72,54,4
2760,66,575,99
2777,42,10,59
2779,46,180,69
2780,38,151,93
2782,85,159,98
2799,56,123,33
2809,38,35,12
2810,49,256,56
2815,40,126,16
2822,69,915,87
2842,61,65,85
2843,22,133,2
2855,33,197,99
2857,71,35,67
2859,78,140,24
2860,49,77,13
2870,76,874,89
2873,30,119,6
2877,21,50,6
2880,17,21,91
2887,44,44,49
2890,44,125,12
2896,38,310,86
2899,18,43,63
2905,34,223,81
2911,37,121,58
2914,49,103,23
2919,52,140,46
2935,60,127,02
2941,50,125,78
2943,58,41,33
2959,22,117,01
2967,40,97,24
2968,38,76,44
2974,40,80,29
2981,24,54,7
2988,35,45,45
3014,41,188,74
3020,53,20,04
3040,38,65,24
3052,15,79,97
3053,26,170,8
3056,45,203,46
3064,57,177,46
3073,64,33,01
3077,23,666,39
3079,37,188,18
3089,68,904,92
3095,37,1914,23
3103,38,28,2
3106,56,207,95
3108,15,129,71
3111,62,41,67
3123,51,77,96
3126,52,120,63
3128,46,49,45
3134,27,239,93
3139,38,311,74
3142,68,716,86
3144,30,82,26
3150,44,34,16
3154,66,199,14
3155,64,93,94
3160,56,278
3161,43,275,88
3176,75,255,69
3178,37,103,25
3184,27,55,62
3195,20,24,87
3201,50,207,72
3210,51,128,88
3211,44,72,68
3218,46,386,02
3221,22,27,13
3227,41,239,18
