id,price,availability_365
7087327,160,283
975833,350,343
8249488,50,60
8409022,95,365
8411173,50,351
8634774,99,361
8498095,100,21
8513660,100,365
8298145,38,360
295345,71,352
1745866,97,3
7678268,55,0
8457865,50,365
6757134,99,339
295346,60,361
8479636,52,359
2310297,23,333
6556520,200,363
8519782,40,0
8606980,135,365
8485995,100,365
8607216,225,365
8568945,129,120
333613,149,18
1026034,150,351
2486785,175,361
1822257,239,345
5220279,65,63
3419118,71,319
805961,80,123
3362,250,340
93551,138,365
68962,94,308
3469191,283,297
6778286,127,0
495042,79,349
7220873,110,62
7524042,38,363
5990979,480,325
1086168,372,326
6688513,125,57
3890477,89,161
6262632,80,360
1519460,90,313
5173258,110,345
3985441,100,0
5089898,250,41
7150515,55,364
7132107,55,362
813573,400,365
8473096,35,360
2117627,160,0
7254795,130,346
8567059,50,194
5912004,150,365
2940776,40,267
8519673,45,354
8552222,55,345
4694155,200,365
4286181,65,296
2523708,94,361
861775,65,336
2517969,64,336
7368860,59,353
403647,125,365
1875603,74,336
6133697,69,353
8523150,49,356
8172001,60,364
7582828,69,348
5375538,157,324
6564932,128,301
3504621,135,138
2237591,90,327
4468217,102,335
8089814,99,22
5759630,195,167
321642,160,347
7219322,95,287
7973221,120,294
8191407,249,150
7860122,88,25
7973954,90,0
8503615,150,325
8606829,125,30
374043,85,344
4251323,400,340
4430318,120,364
454026,215,343
6448095,90,363
4597473,50,324
5023531,100,336
7769625,65,29
7826994,55,356
792578,129,173
7384867,45,275
212586,299,159
786804,309,356
8595649,375,365
4729118,180,308
2790026,149,334
5844616,337,42
96259,299,360
23378,249,365
5405828,126,326
8167267,99,13
4808149,299,365
924888,199,89
4659838,89,275
8664363,165,365
786693,309,365
8133514,115,305
1304225,130,21
7637938,95,337
6744470,50,89
5869529,569,90
3672217,55,365
7596192,49,280
6900870,250,350
36943,198,365
1839589,311,45
2115864,95,49
7825726,59,346
3172888,167,343
6106389,165,138
2477325,104,344
805490,99,58
4811421,159,360
6430122,190,129
4044606,246,57
6376317,200,305
1584147,215,353
8514469,450,365
7572512,234,365
2477330,110,345
7916003,225,335
216398,249,365
7114075,109,60
7258774,250,53
3961511,135,182
5353107,87,357
536232,210,343
3477770,300,299
5411135,189,343
4772168,120,273
7474964,200,285
2707225,269,145
7630675,569,365
6288255,120,305
6812558,109,273
6626883,150,99
1562024,95,323
6370764,119,2
8390917,97,353
2339961,99,84
3593404,295,346
6542545,149,329
6911905,110,330
8460219,180,335
7870051,150,169
1498731,150,334
4629445,155,0
14570,85,209
1624943,130,302
3421927,120,14
6792155,90,348
2578477,149,255
6953508,569,90
5691723,180,284
6844024,55,84
3258728,229,323
8042913,75,26
6781783,569,90
1170249,105,267
1287319,259,365
7769970,120,3
5577993,119,0
8015877,139,114
6574122,90,361
4427874,109,341
2642542,150,345
1535272,295,330
176369,210,335
1529367,329,345
8081791,125,11
8532371,150,350
1173115,175,270
7582553,129,41
940952,239,365
801699,250,353
1391504,168,328
7804254,79,36
8534537,65,346
3635723,290,354
8408614,725,87
7067790,109,306
8304399,99,335
6846210,569,365
7132818,120,62
6370883,290,0
3380059,145,34
343200,210,347
4588047,90,340
8423417,99,58
2271727,399,365
18883,239,365
1403549,150,74
6870636,199,92
3710056,135,230
524237,295,360
7257104,429,72
892183,400,278
5862599,295,321
195344,179,305
20832,309,353
7109438,90,56
7053307,43,233
7790166,120,28
6790744,269,348
2346018,150,223
2563683,269,365
2309866,185,364
267813,120,30
8338737,220,321
4644205,99,2
8428938,99,161
2039329,250,365
4807923,249,365
2170732,259,27
4378992,300,293
34180,289,365
5946361,200,345
5792783,249,365
7616647,81,40
8410280,200,66
7502313,194,156
7039348,89,237
811040,159,296
8454224,85,0
1989187,100,0
8482899,189,290
6660622,150,363
7922208,175,317
8291377,120,313
7875951,155,284
6967482,629,90
2171039,311,43
8286241,571,365
762058,339,348
316796,210,342
786670,299,359
5423355,170,358
8509689,135,304
7848895,245,337
17377,249,365
8291438,99,351
8610929,149,365
4240916,99,354
5039240,295,303
6074361,400,143
7554288,65,42
475420,99,320
6881600,179,203
5020383,150,284
6676843,140,288
4832639,179,325
7807724,135,329
8405767,250,8
5260553,95,17
7990478,170,48
5952761,299,363
6404138,150,115
867430,250,346
5307479,105,0
7819662,120,37
8289426,399,365
7629993,629,365
6953706,569,90
3985853,70,36
4305324,110,50
1839373,259,27
5374980,99,9
5145487,289,345
4606872,124,292
54345,259,365
8407390,80,51
5894748,96,289
130470,189,336
704025,289,179
1085657,299,365
7559867,170,57
7815293,130,37
7225840,149,118
1901094,259,57
3768871,349,320
7545928,78,310
8356095,125,27
4481897,95,170
5538672,130,62
1966995,72,350
6938781,175,156
1901533,246,57
4457588,140,68
6956166,65,76
4727087,125,0
7258693,85,153
90734,309,178
6791838,569,90
4580081,150,170
623373,279,365
4266897,154,268
5047724,165,307
2262461,149,329
8160707,104,320
2594382,125,331
4408795,259,6
8446490,155,156
1079181,259,365
100440,189,350
1853555,110,0
7112427,58,194
3090274,68,90
1058667,309,365
3047590,160,274
7604187,80,349
6797009,569,90
8407813,103,67
5870042,629,365
5114143,324,27
5220930,90,278
155756,329,362
1065411,299,356
248536,349,361
6645543,95,96
240495,189,344
2590533,324,27
5202425,100,230
6221367,299,279
7131054,215,2
1003509,319,359
924924,155,365
36541,209,337
807680,249,365
2641263,329,365
7615495,99,321
4565171,324,24
8303678,168,306
6214131,215,127
234238,159,360
6968141,629,90
6181730,629,90
6878647,89,85
3020248,36,349
8541684,100,1
7910362,115,311
34000,239,365
7853213,100,25
1029369,189,365
5870899,159,360
8615548,100,365
4258011,100,356
3930336,160,150
8034375,130,5
5003334,125,118
4385129,115,274
2570378,189,51
8632665,140,185
8443024,1000,0
5814764,165,189
3151012,115,22
22943,249,365
6986245,132,0
2378200,189,308
6397726,79,116
605953,239,365
965878,150,61
2006388,96,302
821164,139,12
6356416,99,120
7298509,56,334
703986,219,365
1029378,295,151
4251432,100,158
7716746,229,351
898544,300,318
5627886,120,337
3650599,105,18
6527306,108,25
7192467,118,342
898543,310,326
6003263,100,71
7090899,188,241
7619081,65,40
7084819,116,282
7379567,149,55
5940622,150,356
5838952,70,161
4601641,130,365
2351587,95,7
6683798,165,81
597427,155,365
1901611,324,24
4427676,150,333
5228382,109,64
7978419,110,16
6487066,324,27
2729723,60,101
1943175,160,347
6588026,95,95
8054222,128,340
4706142,50,341
5953026,75,151
8309843,135,344
98065,249,365
7912558,120,338
4157905,179,85
7005310,53,346
3694657,115,51
7004468,70,320
140290,159,282
17378,209,363
6835222,50,310
4292522,175,334
5396268,130,365
2648427,329,365
4957202,64,86
8335947,70,363
123354,80,347
8381308,800,365
8496424,41,357
3698666,55,365
2987397,65,365
2550485,42,61
3700395,60,365
5201730,39,217
4532386,300,275
8580901,100,128
7636407,60,316
175608,140,316
4789130,95,347
7460760,150,48
3677616,214,348
32584,129,327
8592549,100,1
3800452,120,364
1326629,399,286
4882316,84,156
6462055,110,111
7910505,200,126
5143177,120,316
6363926,83,317
181913,79,363
7644224,299,293
4382725,207,27
3303757,55,328
2302031,85,345
4315895,135,2
6480338,100,0
3432966,70,346
8364554,100,0
1663504,230,304
6317095,140,115
3352155,495,365
4210884,115,285
8536274,65,31
344264,115,25
8284881,99,358
5373844,158,131
6881428,399,308
5292195,150,274
17380,289,365
290001,150,129
3281062,350,57
2499606,298,47
7103610,70,364
4351099,130,89
3818629,100,242
853132,125,28
6686241,150,237
6005894,95,145
4244705,130,342
8166186,250,0
7414087,175,25
6119766,69,0
6435116,175,357
5228009,85,217
5121189,180,228
52092,150,345
3173259,139,320
7482822,111,343
3478199,95,1
3808204,85,363
3601131,115,283
3475480,199,351
1650856,150,252
5755232,115,225
4501,99,273
8008094,85,273
6289478,193,136
2429958,298,47
6001683,63,354
7853097,299,334
4248660,185,361
4846107,120,0
25354,125,65
1831701,110,275
3527448,93,291
6403422,80,63
6509966,195,283
2350674,90,332
3415424,250,101
6193902,225,364
248402,135,296
1020928,259,365
4764798,60,274
6576022,60,215
8221932,100,311
7836962,100,30
6673960,109,96
7935536,312,330
2248413,175,364
7622253,375,18
7174384,71,352
8542489,110,14
6796992,75,88
7036591,150,327
6135500,120,325
6658339,119,341
6056475,200,336
7637775,600,355
3611826,175,364
7999372,119,25
6759650,209,310
8240470,135,263
7708030,45,0
7781787,250,338
6950129,80,311
8542706,110,7
7749119,150,329
4144992,105,359
8126343,119,353
7128350,90,67
7897016,340,65
4358078,180,291
6258721,265,340
8371081,105,112
884598,240,365
501809,98,329
5930230,112,153
1120704,110,315
7068640,140,334
7581347,70,358
3898306,229,341
5364935,162,343
5028605,102,26
6018637,73,65
5878667,190,238
407014,149,331
4783987,80,364
4567582,99,152
4392242,120,274
883253,150,49
8048581,599,346
7783012,62,28
6576257,50,242
4356890,240,363
3629759,139,357
4023806,150,365
6084012,250,20
7635699,68,30
630973,299,354
7644512,720,340
902573,200,336
6677954,71,97
741202,125,33
4105803,145,304
8154040,130,21
4089434,185,364
6391400,225,324
6400081,130,111
7637134,178,347
264326,80,180
1416138,90,349
2467457,125,276
1263456,120,337
7996960,80,15
6676975,100,342
1440897,105,24
7614937,128,343
7638278,300,355
5286718,275,65
1545409,200,237
6346461,280,334
5105996,99,143
4540800,175,300
7496108,97,57
5592949,130,341
6016203,215,364
1952972,75,281
2752580,185,364
6425823,70,356
8486100,97,292
8285432,130,310
1493666,120,288
879279,110,272
7677038,225,334
7125985,140,340
1135268,160,208
3987789,125,311
1775880,150,365
7435945,90,5
8587373,1250,365
5838728,390,161
3782497,100,346
4813661,150,357
5127820,95,78
7637373,250,347
3927571,65,350
4247056,70,324
3577,290,282
1486761,120,331
6544617,130,124
4885834,84,152
7030990,129,71
6543007,125,104
3746270,150,273
6056411,130,107
4430806,210,361
2516656,497,332
6119696,100,0
7562725,300,276
7206477,108,354
6956831,300,76
5825904,75,38
5019362,120,8
17381,249,365
8460036,100,358
620849,125,348
7559119,145,348
1460558,330,35
2176992,60,98
3250140,69,232
5593096,130,342
957734,129,143
916200,249,365
1049354,79,61
3095566,164,261
8298054,164,71
6233678,299,357
5774984,130,166
925327,125,275
8339096,190,15
8486555,125,0
5144192,65,353
5761777,75,0
5671573,85,174
7933168,229,47
4867961,500,332
6937318,250,164
1883590,117,0
25366,298,149
7067692,200,325
7996425,110,63
6092885,120,327
4323458,450,338
1628328,99,302
194753,275,104
4089954,185,364
6273897,120,17
5856183,150,255
7453659,121,316
4817305,75,267
2241400,105,152
5888450,150,48
6602486,100,288
2423371,249,365
5145999,275,308
4160153,160,5
6333552,475,352
5405966,115,338
7242379,45,360
4112411,150,275
4559331,90,361
5018679,217,341
7509040,97,317
8049963,399,320
4256138,118,154
815855,130,327
7514236,36,352
4862698,100,273
7761251,125,32
4258818,300,342
8464830,199,359
7195951,150,63
5318614,125,73
1855756,110,36
8065288,320,342
6234417,88,295
3368085,329,212
3368308,99,0
7259793,59,325
339208,70,339
8506113,75,332
5140121,70,358
3674676,1300,365
3693762,58,365
7109996,55,289
5785467,47,164
3095593,60,111
694383,135,271
7103,89,325
3767679,150,363
4012986,65,365
204051,109,345
55733,99,351
5422197,69,239
5193327,300,88
5562632,114,183
5737493,100,211
862949,69,301
8317914,350,59
839320,100,335
6238251,115,365
204017,99,354
5919184,43,46
8303653,50,37
6256693,380,361
160597,80,90
470593,149,346
7697813,39,34
4305902,50,331
5863019,115,344
8517414,850,365
6404307,58,365
4275023,650,81
3783156,150,266
6328123,99,360
140335,110,343
6700757,40,95
6248254,110,315
2150015,165,363
5990643,600,363
1250851,299,98
6377478,120,116
2097166,260,277
7287026,125,323
2650125,500,248
5932025,175,365
6000894,33,164
5730369,40,137
4529,60,365
6034374,33,327
5970323,50,363
7050202,49,365
5429919,38,162
8323975,65,362
8225518,49,0
5170533,59,51
4482855,200,308
8267568,113,347
2532763,250,359
6374954,65,321
6678133,169,16
7524780,1000,364
7693200,99,33
6924626,145,122
5040663,115,356
1886866,100,356
2544519,55,219
8596784,55,365
8629555,34,352
7237052,99,342
8441547,105,0
6205219,125,362
7573511,44,280
6608392,67,68
8263188,43,361
6886298,30,0
8090567,192,348
1455289,46,66
7591810,95,287
8496069,175,352
2528878,65,346
2274674,79,259
79866,99,365
79867,99,365
2677301,299,358
5893871,135,365
6404701,59,75
6601800,94,333
5977272,99,337
1162899,70,173
7335879,140,130
7716605,95,33
6201336,71,156
5652436,74,332
3538921,129,363
837317,150,365
8089819,70,358
7746671,60,328
3868696,79,348
3953560,79,319
3987784,120,90
914968,75,319
1114268,120,359
3677687,350,87
8141744,85,59
2531819,75,355
106741,215,192
3201115,96,350
5486834,165,192
4565447,239,277
4959218,72,104
6870134,60,339
1588843,90,322
1939655,128,209
7305255,150,363
7305237,75,363
3685810,350,348
6326984,195,361
7801335,95,336
4143309,350,79
7569713,85,355
654835,139,215
6979094,650,75
2748160,550,318
6822975,115,80
8421435,500,88
3522986,155,334
8200705,178,347
3860981,155,352
4325533,155,341
5002566,99,13
6587292,165,365
2966455,375,336
4400142,175,350
2950354,60,314
4074361,120,291
2966759,300,354
7513344,130,301
2974335,300,351
8555412,100,224
8608395,120,339
4767473,325,275
5318112,180,185
7972359,350,350
6555186,70,0
7915142,85,319
3238009,225,343
4417414,474,273
8440213,110,352
6957495,109,154
2984386,300,303
4936102,775,264
2582506,140,307
2754675,595,353
7809701,249,333
7984964,110,32
3272654,60,314
4877872,201,0
8645700,95,336
3476805,975,317
3549842,179,179
1994024,375,191
274737,125,356
6410010,120,333
3272563,200,358
7500451,129,317
6292258,225,330
4436703,185,328
627758,299,215
594394,65,329
8606256,600,216
8565538,375,357
8147851,122,318
8385930,300,275
820120,100,195
2700187,569,301
3431953,124,74
5166322,150,159
661720,175,163
6438519,105,230
5861058,,
88235,78,31
6052154,198,341
5028182,110,0
5249430,195,338
7232462,249,158
8190386,161,344
2685390,135,351
3791304,185,71
7384852,104,352
4545827,75,315
326938,139,215
2685655,350,355
6937355,239,78
2735710,450,341
638604,129,296
7274179,100,51
8035516,200,290
6481324,130,109
3997598,179,327
8683500,450,365
6456345,475,257
8645554,95,258
8645356,95,360
7429332,450,281
4773863,90,276
5903980,170,306
5372128,120,61
6037042,415,349
6939390,175,76
3360124,400,268
4546867,65,292
594405,65,115
6024676,515,320
1510752,135,311
6401051,120,115
8341494,180,361
1542055,500,320
1763153,189,361
4383023,118,321
1138235,439,280
6792455,220,345
5814328,300,312
7239715,165,363
2862964,90,294
3162301,185,123
7198899,125,348
7842461,120,25
1205402,100,167
7726909,110,0
4343926,110,321
1198268,135,335
4936897,220,365
8301651,75,0
4574299,112,330
7369307,40,53
1854284,250,259
6038468,150,331
2175761,96,326
4622571,113,318
1198400,149,331
6051725,125,275
140167,139,317
7489397,149,43
2585919,179,208
8505699,120,13
5581375,120,282
973851,135,10
5690765,99,361
5037503,220,304
5946832,150,322
7716370,120,347
8337942,36,343
416371,150,359
646183,172,77
8682644,70,14
5786557,99,148
8645588,127,351
4402144,165,351
54112,215,353
36391,269,365
4574822,119,23
8300302,150,0
1141805,145,300
8187172,110,55
8290869,88,8
7205391,74,265
8310115,99,18
7194519,111,328
8646530,132,328
5959565,175,348
4611395,129,337
1320940,110,309
2010440,110,275
2000710,95,168
6952815,95,303
7712730,199,345
3043302,149,80
4124074,203,1
7482613,200,46
4873463,90,175
5076606,99,339
2105971,240,355
306465,259,351
3504019,100,275
684324,300,292
7126406,150,345
7732528,119,346
5959473,145,150
8530589,418,365
6348598,129,1
6487383,210,359
5476381,299,365
5322125,222,0
4411488,115,337
3821677,115,184
1897093,99,113
8507536,100,352
2969776,130,11
4151206,139,0
4714859,75,322
7942513,99,19
8671978,98,319
2568578,115,64
160148,215,275
1050419,179,78
5747720,199,169
4848712,140,264
4756559,195,364
4658271,115,287
4208641,99,345
4469244,185,352
7809112,199,354
2437650,139,275
3759544,225,345
1912907,149,365
7910585,36,323
6763366,94,91
2978678,169,365
6698326,175,0
3580823,150,364
7906205,180,73
1332671,120,56
3012092,115,339
6927876,170,25
8655805,100,356
7084337,300,323
8192676,150,5
4625393,85,114
7910543,69,37
4846756,69,66
7087505,75,352
2553668,99,274
2263350,149,289
5560149,100,268
3577680,130,269
1011352,90,320
2682199,149,244
8503628,299,344
5969151,135,80
7896415,150,62
8631602,199,329
3945792,89,0
8382690,180,336
1969951,240,347
6823518,95,28
1198366,149,315
7031707,90,32
7599768,149,345
4351015,74,10
