id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
2578477,Modern Downtown 1 BR with Amenities,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,149,1,47,2.68,255,,
6953508,Lux Furnished 1BR Newseum Apt,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,569,3,0,,90,,
5691723,1 Bedroom Delight in Chinatown!,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,180,1,6,1.03,284,,
6844024,Spacious bedroom in Foggy Bottom!,West End, Foggy Bottom, GWU,Shared room,55,1,1,0.35,84,,
3258728,By Chinatwn,Convntn,Vrizn Cntr,Mall,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,229,2,29,1.86,323,,
8042913,Beautiful Master Bed in Downtown DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,75,1,2,2,26,,
6781783,Logan Circle Lux Furnished 1BR Apt,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,569,3,0,,90,,
1170249,Private bedroom with private bath!,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,105,1,245,8.72,267,,
1287319,[1396-1P]1BR @ Newseum Residences,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,259,4,3,0.16,365,,
7769970,Sunlit Upscale apt in Heart of DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,120,2,1,1,3,,
5577993,Cosy loft,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,119,5,3,0.53,0,,
8015877,The DelMar Stay,LLC (parking avail),Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,139,1,0,,114,,
6574122,Cozy room in downtown DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,90,1,0,,361,,
4427874,Furnished Private Room in a House,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,109,3,34,3.38,341,,
2642542,Where location meets convinience,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,150,2,25,1.39,345,,
1535272,Bright, Large Studio Apt Sleeps 5!!,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,295,3,45,2.12,330,,
176369,"""The Cajun"" Flat Downtown DC - 202",Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,210,1,57,1.14,335,,
1529367,One Block to the Convention Center!,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,329,3,21,1.06,345,,
8081791,Cozy Studio Near Capital Hill,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,125,2,0,,11,,
8532371,Spacious 1 bdr, Gallery PL/Chi Town,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,150,1,1,1,350,,
1173115,Best Location/Street / Logan Circle,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,175,2,139,5.24,270,,
7582553,1BR Apt in Gallery Pl- Downtown DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,129,1,7,4.57,41,,
940952,1BR Fully Furnished-Mt. Vernon Sq.,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,239,5,0,,365,,
801699,Hip Luxury Loft - near Conv. Center,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,250,2,17,0.62,353,,
1391504,Luxurious Apartment, Heart of DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,168,1,136,5.23,328,,
7804254,Union Station RoomBth, Shared Space,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,79,2,2,1.62,36,,
8534537,Well-appointed studio in Dwntown DC,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Shared room,65,2,0,,346,,
3635723,Super Chic & Gorgeous Downtown Apt.,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,290,3,32,2.18,354,,
8408614,Spectacular Penn Quarter Lux Apt.,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Entire home/apt,725,5,0,,87,,
7067790,Private Master Bedroom Capitol Hill,Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street,Private room,109,1,5,1.58,306,,
